No,Mission,Sat_ver,COSPAR_ID,Launch_date_time_UTC,Launch_site,Orbit_altitude,Orbit_inclination,Satellites_deployed,Satellites_w_DtC,Satellites_working,Outcome,Remarks,Launch_date
261,Group 6-67,v2 mini,2025-101,"14 May 2025, 16:38","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,28,,28,Success,,2025-05-14
208,Group 6-66,v2 mini,2024-216,"21 November 2024, 16:07","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,24,,24,Success,,2024-11-21
212,Group 6-65,v2 mini,2024-224,"30 November 2024, 05:00","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,24,,24,Success,,2024-11-30
170,Group 6-64,v2 mini,2024-106,"1 June 2024, 02:37","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-06-01
168,Group 6-63,v2 mini,2024-098,"24 May 2024, 02:45","Kennedy,LC-39A",559 km (347 mi),43.0°,23,,23,Success,,2024-05-24
167,Group 6-62,v2 mini,2024-097,"23 May 2024, 02:33","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-05-23
198,Group 6-61,v2 mini,2024-191,"23 October 2024, 21:47","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-10-23
169,Group 6-60,v2 mini,2024-100,"28 May 2024, 14:24","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-05-28
166,Group 6-59,v2 mini,2024-093,"18 May 2024, 00:32","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-05-18
164,Group 6-58,v2 mini,2024-090,"13 May 2024, 00:53","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-05-13
161,Group 6-57,v2 mini,2024-084,"6 May 2024, 18:14","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-05-06
162,Group 6-56,v2 mini,2024-086,"8 May 2024, 18:42","Kennedy,LC-39A",559 km (347 mi),43.0°,23,,23,Success,,2024-05-08
160,Group 6-55,v2 mini,2024-082,"3 May 2024, 01:49","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-05-03
159,Group 6-54,v2 mini,2024-080,"28 April 2024, 21:50","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-04-28
158,Group 6-53,v2 mini,2024-076,"23 April 2024, 22:17","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-04-23
157,Group 6-52,v2 mini,2024-074,"18 April 2024, 22:40","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-04-18
156,Group 6-51,v2 mini,2024-073,"17 April 2024, 21:24","Kennedy,LC-39A",559 km (347 mi),43.0°,23,,23,Success,,2024-04-17
155,Group 6-49,v2 mini,2024-071,"13 April 2024, 01:40","Kennedy,LC-39A",559 km (347 mi),43.0°,23,,23,Success,,2024-04-13
154,Group 6-48,v2 mini,2024-068,"10 April 2024, 04:40","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-04-10
152,Group 6-47,v2 mini,2024-064,"5 April 2024, 09:12","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-04-05
149,Group 6-46,v2 mini,2024-057,"25 March 2024, 23:42","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-03-25
150,Group 6-45,v2 mini,2024-060,"31 March 2024, 01:30","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-03-31
146,Group 6-44,v2 mini,2024-049,"16 March 2024, 00:21","Kennedy,LC-39A",559 km (347 mi),43.0°,23,,23,Success,,2024-03-16
144,Group 6-43,v2 mini,2024-045,"11 March 2024, 00:03","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-03-11
148,Group 6-42,v2 mini,2024-056,"24 March 2024, 03:09","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-03-24
143,Group 6-41,v2 mini,2024-044,"4 March 2024, 23:54","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-03-04
142,Group 6-40,v2 mini,2024-041,"29 February 2024, 15:30","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,22,Success,,2024-02-29
141,Group 6-39,v2 mini,2024-038,"25 February 2024, 22:06","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,24,,24,Success,,2024-02-25
136,Group 6-38,v2 mini,2024-019,"29 January 2024, 01:10","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-01-29
134,Group 6-37,v2 mini,2024-012,"15 January 2024, 01:52","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-01-15
130,Group 6-36,v2 mini,2023-211,"29 December 2023, 04:00","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,22,Success,,2023-12-29
132,Group 6-35,v2 mini,2024-005,"7 January 2024, 22:35","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-01-07
128,Group 6-34,v2 mini,2023-200,"19 December 2023, 04:00","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-12-19
126,Group 6-33,v2 mini,2023-191,"7 December 2023, 05:07","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-12-07
129,Group 6-32,v2 mini,2023-203,"23 December 2023, 04:00","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,22,Success,,2023-12-23
125,Group 6-31,v2 mini,2023-186,"3 December 2023, 04:00","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-12-03
124,Group 6-30,v2 mini,2023-183,"28 November 2023, 04:20","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-11-28
123,Group 6-29,v2 mini,2023-180,"22 November 2023, 07:47","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-11-22
121,Group 6-28,v2 mini,2023-177,"18 November 2023, 05:05","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-11-18
120,Group 6-27,v2 mini,2023-171,"8 November 2023, 05:05","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-11-08
119,Group 6-26,v2 mini,2023-170,"4 November 2023, 00:37","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-11-04
118,Group 6-25,v2 mini,2023-167,"30 October 2023, 23:20","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-10-30
116,Group 6-24,v2 mini,2023-162,"22 October 2023, 02:17","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2023-10-22
114,Group 6-23,v2 mini,2023-160,"18 October 2023, 00:39","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-10-18
113,Group 6-22,v2 mini,2023-158,"13 October 2023, 23:01","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-10-13
111,Group 6-21,v2 mini,2023-153,"5 October 2023, 05:36","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-10-05
97,Group 6-20,v2 mini,2023-115,"8 August 2023, 03:57","Vandenberg,SLC-4E",559 km (347 mi),43.0°,15,,15,Success,,2023-08-08
110,Group 6-19,v2 mini,2023-151,"30 September 2023, 02:00","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-09-30
108,Group 6-18,v2 mini,2023-147,"24 September 2023, 03:38","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,21,Success,,2023-09-24
107,Group 6-17,v2 mini,2023-146,"20 September 2023, 03:38","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-09-20
106,Group 6-16,v2 mini,2023-144,"16 September 2023, 03:38","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-09-16
93,Group 6-15,v2 mini,2023-102,"19 July 2023, 04:09","Vandenberg,SLC-4E",559 km (347 mi),43.0°,15,,15,Success,,2023-07-19
104,Group 6-14,v2 mini,2023-138,"9 September 2023, 03:12","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-09-09
102,Group 6-13,v2 mini,2023-131,"1 September 2023, 02:21","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-09-01
103,Group 6-12,v2 mini,2023-134,"4 September 2023, 02:47","Kennedy,LC-39A",559 km (347 mi),43.0°,21,,21,Success,,2023-09-04
101,Group 6-11,v2 mini,2023-129,"27 August 2023, 01:05","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,21,Success,,2023-08-27
99,Group 6-10,v2 mini,2023-122,"17 August 2023, 03:36","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-08-17
98,Group 6-9,v2 mini,2023-119,"11 August 2023, 05:17","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,21,Success,,2023-08-11
96,Group 6-8,v2 mini,2023-113,"7 August 2023, 02:41","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-08-07
95,Group 6-7,v2 mini,2023-107,"28 July 2023, 04:01","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,20,Success,,2023-07-28
94,Group 6-6,v2 mini,2023-105,"24 July 2023, 00:50","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-07-24
91,Group 6-5,v2 mini,2023-096,"10 July 2023, 03:58","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,22,Success,,2023-07-10
86,Group 6-4,v2 mini,2023-079,"4 June 2023, 12:20","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,19,Success,,2023-06-04
84,Group 6-3,v2 mini,2023-067,"19 May 2023, 06:19","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,22,,21,Success,,2023-05-19
79,Group 6-2,v2 mini,2023-056,"19 April 2023, 14:31","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,21,,20,Success,,2023-04-19
74,Group 6-1,v2 mini,2023-026,"27 February 2023, 23:13","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,21,,12,Success,"First launch of larger, upgraded Starlink V2 Mini satellites with four times the bandwidth of previous models. First use of anArgon-fueledHall-effect thrusterin space, with higher thrust andspecific impulseand much lower propellant cost than SpaceX's previousKrypton-fueled thrusters.With the unknown of when Starship will be able to launch the second generation satellites, SpaceX modified the original V2 blueprint into a smaller, more compact one named “V2 Mini.” This adjustment, allowed Falcon 9 to transport these satellites, though not as many, into orbit.The first launch of the second satellites occurred on Monday, February 27, 2023 at Cape Canaveral Space Force Station in Florida on SLC-40. Falcon 9 successfully carried 21 of these satellites into orbit later that evening. SpaceX committed to reduce debris by keeping the Starlink tension rods, which hold the V2 mini satellites together, attached to the Falcon 9 second stage. These tension rods were discarded into orbit while launching earlier version of Starlink satellites.Observations confirm these V2 mini satellites host two solar panels like the Starship V2 satellites.",2023-02-27
92,Group 5-15,v1.5,2023-099,"16 July 2023, 03:50","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,54,,54,Success,,2023-07-16
90,Group 5-13,v1.5,2023-094,"7 July 2023, 19:29","Vandenberg,SLC-4E",530 km (330 mi),43.0°,48,,47,Success,,2023-07-07
89,Group 5-12,v1.5,2023-090,"23 June 2023, 15:35","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,56,,56,Success,,2023-06-23
87,Group 5-11,v1.5,2023-083,"12 June 2023, 07:10","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,52,,52,Success,,2023-06-12
78,Group 5-10,v1.5,2023-046,"29 March 2023, 20:01","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,56,,56,Success,,2023-03-29
83,Group 5-9,v1.5,2023-065,"14 May 2023, 05:03","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,56,,55,Success,,2023-05-14
88,Group 5-7,v1.5,2023-088,"22 June 2023, 07:19","Vandenberg,SLC-4E",530 km (330 mi),43.0°,47,,47,Success,,2023-06-22
81,Group 5-6,v1.5,2023-061,"4 May 2023, 07:31","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,56,,55,Success,,2023-05-04
77,Group 5-5,v1.5,2023-042,"24 March 2023, 15:43","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,56,,56,Success,,2023-03-24
72,Group 5-4,v1.5,2023-020,"12 February 2023, 5:10","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,55,,54,Success,,2023-02-12
71,Group 5-3,v1.5,2023-015,"2 February 2023, 7:58","Kennedy,LC-39A",530 km (330 mi),43.0°,53,,51,Success,,2023-02-02
69,Group 5-2,v1.5,2023-013,"26 January 2023, 9:32","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,56,,55,Success,,2023-01-26
67,Group 5-1,v1.5,2022-177,"28 December 2022, 9:34","Cape Canaveral,SLC-40",530 km (330 mi),43.0°,54,,54,Success,First launch into an initial shell of the second generation Starlink constellation.,2022-12-28
66,Group 4-37,v1.5,2022-175,"17 December 2022, 21:32","Kennedy,LC-39A",540 km (340 mi),53.2°,54,,54,Success,,2022-12-17
64,Group 4-36,v1.5,2022-136,"20 October 2022, 14:50:40","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,54,,53,Success,,2022-10-20
62,Group 4-35,v1.5,2022-119,"24 September 2022, 23:32:10","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,52,,51,Success,,2022-09-24
61,Group 4-34,v1.5,2022-114,"19 September 2022, 00:18:40","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,54,,53,Success,,2022-09-19
65,Group 4-31,v1.5,2022-141,"28 October 2022, 01:14","Vandenberg,SLC-4E",540 km (340 mi),53.2°,53,,52,Success,,2022-10-28
63,Group 4-29,v1.5,2022-125,"5 October 2022, 23:10:30","Vandenberg,SLC-4E",540 km (340 mi),53.2°,52,,52,Success,,2022-10-05
56,Group 4-27,v1.5,2022-101,"19 August 2022, 19:21:20","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,53,,53,Success,,2022-08-19
54,Group 4-26,v1.5,2022-097,"10 August 2022, 02:14:40","Kennedy,LC-39A",540 km (340 mi),53.2°,52,,51,Success,,2022-08-10
53,Group 4-25,v1.5,2022-086,"24 July 2022, 13:38:20","Kennedy,LC-39A",540 km (340 mi),53.2°,53,,51,Success,,2022-07-24
57,Group 4-23,v1.5,2022-104,"28 August 2022, 03:41","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,54,,51,Success,"Heaviest Falcon 9 launch carrying an east-coast Starlink network launch for 53.2° inclination orbit located at 540 km altitude. This flight, Group 4-23, was moved from 39A to 40 to de-conflict withArtemis Ioperations at 39B, and booster B1069.2 from the 4-20 mission was swapped with B1067.6.",2022-08-28
51,Group 4-22,v1.5,2022-083,"17 July 2022, 14:20","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,53,,53,Success,,2022-07-17
49,Group 4-21,v1.5,2022-076,"7 July 2022, 13:11:10","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,53,,52,Success,,2022-07-07
59,Group 4-20,v1.5,2022-107,"5 September 2022, 02:09:40","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,51,,46,Success,"Rideshare satellites:Sherpa-LTC2carried a sole hosted payload will be Boeing's Varuna Technology Demonstration Mission, a pathfinder for a planned constellation of broadband satellites.",2022-09-05
48,Group 4-19,v1.5,2022-062,"17 June 2022, 16:09:20","Kennedy,LC-39A",540 km (340 mi),53.2°,53,,53,Success,,2022-06-17
47,Group 4-18,v1.5,2022-053,"18 May 2022, 10:59:40","Kennedy,LC-39A",540 km (340 mi),53.2°,53,,53,Success,,2022-05-18
44,Group 4-17,v1.5,2022-049,"6 May 2022, 09:42","Kennedy,LC-39A",540 km (340 mi),53.2°,53,,53,Success,,2022-05-06
43,Group 4-16,v1.5,2022-045,"29 April 2022, 21:27:10","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,53,,52,Success,,2022-04-29
46,Group 4-15,v1.5,2022-052,"14 May 2022, 20:40:50","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,53,,53,Success,,2022-05-14
42,Group 4-14,v1.5,2022-041,"21 April 2022, 17:51:40","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,53,,51,Success,,2022-04-21
45,Group 4-13,v1.5,2022-051,"13 May 2022, 22:07:50","Vandenberg,SLC-4E",540 km (340 mi),53.2°,53,,53,Success,,2022-05-13
41,Group 4-12,v1.5,2022-029,"19 March 2022, 04:42:30","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,53,,47,Success,,2022-03-19
38,Group 4-11,v1.5,2022-017,"25 February 2022, 17:12:10","Vandenberg,SLC-4E",540 km (340 mi),53.2°,50,,48,Success,,2022-02-25
40,Group 4-10,v1.5,2022-025,"9 March 2022, 13:45:10","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,48,,47,Success,Starlink 3680 (or Starlink 2022-025P) launched in this stack has maneuvered and moved to Shell 1 of starlink satellites. Possibly some other satellites in this stack will also joining the Shell 1 Starlinks in near future.,2022-03-09
39,Group 4-9,v1.5,2022-022,"3 March 2022, 14:25","Kennedy,LC-39A",540 km (340 mi),53.2°,47,,47,Success,,2022-03-03
37,Group 4-8,v1.5,2022-016,"21 February 2022, 14:44:20","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,46,,46,Success,,2022-02-21
36,Group 4-7,v1.5,2022-010,"3 February 2022, 18:13:20","Kennedy,LC-39A",540 km (340 mi),53.2°,49,,10,Success,"On 4 February 2022, the satellites deployed on this mission were significantly impacted by aG2-ratedgeomagnetic storm. The satellites were commanded into a safe mode, but increased atmospheric drag prevented the satellites from leaving safe mode to begin maneuvering from the low deployment altitude to an operational orbit. On 8 February 2022, SpaceX confirmed that up to 40 of the 49 deployed satellites will reenter or have reentered the Earth's atmosphere.By 12 February, 38 satellites had reentered the atmosphere while the remaining 11 continued to raise their orbits.",2022-02-03
35,Group 4-6,v1.5,2022-005,"19 January 2022, 02:02:40","Kennedy,LC-39A",540 km (340 mi),53.2°,49,,49,Success,,2022-01-19
34,Group 4-5,v1.5,2022-001,"6 January 2022, 21:49:10","Kennedy,LC-39A",540 km (340 mi),53.2°,49,,49,Success,,2022-01-06
33,Group 4-4,v1.5,2021-125,"18 December 2021, 12:41:40","Vandenberg,SLC-4E",540 km (340 mi),53.2°,52,,49,Success,,2021-12-18
32,Group 4-3,v1.5,2021-115,"2 December 2021, 23:12:15","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,48,,48,Success,Rideshare satellites: BlackSky-16 Gen-2 and BlackSky-17 Gen-2.,2021-12-02
60,Group 4-2,v1.5,2022-111,"11 September 2022, 01:20","Kennedy,LC-39A",540 km (340 mi),53.2°,34,,31,Success,Rideshare satellites: BlueWalker-3 was released into a 513 km circular orbit.,2022-09-11
31,Group 4-1,v1.5,2021-104,"13 November 2021, 11:19:30","Cape Canaveral,SLC-40",540 km (340 mi),53.2°,53,,52,Success,First launch of Group 4 Starlink satellites.,2021-11-13
80,Group 3-5,v1.5,2023-058,"27 April 2023, 13:40","Vandenberg,SLC-4E",560 km (350 mi),97.6°,46,,46,Success,,2023-04-27
58,Group 3-4,v1.5,2022-105,"31 August 2022, 05:40:10","Vandenberg,SLC-4E",560 km (350 mi),97.6°,46,,46,Success,,2022-08-31
55,Group 3-3,v1.5,2022-099,"12 August 2022, 21:40:20","Vandenberg,SLC-4E",560 km (350 mi),97.6°,46,,46,Success,,2022-08-12
52,Group 3-2,v1.5,2022-084,"22 July 2022, 17:39:40","Vandenberg,SLC-4E",560 km (350 mi),97.6°,46,,46,Success,,2022-07-22
50,Group 3-1,v1.5,2022-077,"11 July 2022, 01:39:40","Cape Canaveral,SLC-40",560 km (350 mi),97.6°,46,,46,Success,,2022-07-11
85,Group 2-10,v1.5,2023-078,"31 May 2023, 06:02","Vandenberg,SLC-4E",570 km (350 mi),70.0°,52,,52,Success,,2023-05-31
82,Group 2-9,v1.5,2023-064,"10 May 2023, 20:09","Vandenberg,SLC-4E",570 km (350 mi),70.0°,51,,51,Success,,2023-05-10
76,Group 2-8,v1.5,2023-037,"17 March 2023, 19:26","Vandenberg,SLC-4E",570 km (350 mi),70.0°,52,,52,Success,,2023-03-17
75,Group 2-7,v1.5,2023-028,"3 March 2023, 18:38","Vandenberg,SLC-4E",570 km (350 mi),70.0°,51,,51,Success,,2023-03-03
70,Group 2-6,v1.5,2023-014,"31 January 2023, 16:15","Vandenberg,SLC-4E",570 km (350 mi),70.0°,49,,48,Success,"Rideshare satellites: ION SCV-009 carries HPS' ADEO-N3,EPFL's Bunny, and StardustMe's SD-1 as hosted payloads.ION SCV-009 will deploy a satellite simulator usingEBAD's8"" Payload Release Ring.",2023-01-31
73,Group 2-5,v1.5,2023-021,"17 February 2023, 19:12","Vandenberg,SLC-4E",570 km (350 mi),70.0°,51,,50,Success,,2023-02-17
68,Group 2-4,v1.5,2023-010,"19 January 2023, 15:43","Vandenberg,SLC-4E",570 km (350 mi),70.0°,51,,50,Success,,2023-01-19
30,Group 2-1,v1.5,2021-082,"14 September 2021, 03:55:50","Vandenberg,SLC-4E",570 km (350 mi),70.0°,51,,51,Success,"First launch of operational Starlink satellites fromVandenberg Space Force Base, and first launch into a high-inclination, non-SSOorbit. Musk stated that the operational satellites were version 1.5 and featured ""laser inter-satellite links, which are needed for high latitudes and mid-ocean coverage"".",2021-09-14
